Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
CHINA INTL.MAR.CTRS. (GP.) 'A',CN:CMA,4/8/1994,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China International Marine Containers (Group) 'A'
CHINA NAT.ACCORD MDC.'A',CN:YIM,8/9/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China National Accord Medicines 'A'
CHINA RES.SANJIU MED.& PHARM.'A',CN:SMP,3/9/2000,16Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China Resources Sanjiu Medical and Pharmaceutical 'A'
CHINA RESOURCES JINHUA 'A',CN:SJN,6/2/1998,17Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China Resources Jinhua 'A'
CHINA TRANSINFO TECH.'A',CN:SRK,3/18/2010,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China Transinfo Technology 'A'
CHONGQING ZHIFEI BILG. PRDS.'A',CN:CZB,9/28/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Chongqing Zhifei Biological Products 'A'
COFCO PROPERTY (GP.) 'A',CN:BAH,10/8/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Cofco Property (Group) 'A'
DA AN GENE OF SUN YAT- SEN UVTY.'A',CN:DAN,8/9/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Da An Gene of Sun Yat- Sen University 'A'
DO-FLUORIDE CHEMS.'A',CN:DFC,5/18/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Do-Fluoride Chemicals 'A'
DONGXU OT.TECHNOLOGY 'A',CN:SJZ,9/25/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Dongxu Optoelectronic Technology 'A'
FAW CAR 'A',CN:FCL,6/18/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Faw Car 'A'
FINANCIAL STR.HLDG.'A',CN:CHQ,6/26/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Financial Street Holding 'A'
FUJIAN SUNNER DEV.'A',CN:FSD,10/21/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Fujian Sunner Development 'A'
GRG BANKING EQUIPMENT 'A',CN:GRG,8/13/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,GRG Banking Equipment 'A'
GUANGDONG ELEC.PWR.DEV. 'A',CN:GEP,11/26/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guangdong Electric Power Development 'A'
GUANGDONG HAID GROUP 'A',CN:GHG,11/27/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guangdong Haid Group 'A'
GUANGZHOU HAIGE COMMS. GP.'A',CN:HCG,8/31/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guangzhou Haige Communications Group 'A'
GUIZHOU BAILING GROUP PHARM.'A',CN:GBG,6/3/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guizhou Bailing Group Pharmaceutical 'A'
HAN'S LASER TECH. 'A',CN:HLA,6/25/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Han's Laser Technology 'A'
HANGZHOU BJ.RLST.GP.'A',CN:HBR,5/29/2008,7Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hangzhou Binjiang Real Estate Group 'A'
HANGZHOU ICAFE TECH.'A',CN:ABS,8/27/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hangzhou Icafe Technology 'A'
HANGZHOU ROBAM APP.'A',CN:HRA,11/23/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hangzhou Robam Appliances 'A'
HARBIN GLORIA PHARMS.'A',CN:HGR,6/23/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Harbin Gloria Pharmaceuticals 'A'
HUALAN BIOLOGICAL ENGR. 'A',CN:HEE,6/25/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hualan Biological Engineering 'A'
HUAPONT-NUTRICHEM 'A',CN:CNQ,6/25/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Huapont-Nutrichem 'A'
