,PI
2003-07-07,1572.457
2003-07-14,1593.397
2003-07-21,1566.315
2003-07-28,1539.321
2003-08-04,1564.826
2003-08-11,1544.468
2003-08-18,1514.817
2003-08-25,1490.902
2003-09-01,1519.474
2003-09-08,1494.568
2003-09-15,1464.96
2003-09-22,1447.72
2003-09-29,1419.909
2003-10-06,1432.356
2003-10-13,1465.658
2003-10-20,1423.33
2003-10-27,1433.645
2003-11-03,1426.225
2003-11-10,1401.348
2003-11-17,1388.511
2003-11-24,1468.81
2003-12-01,1499.336
2003-12-08,1503.861
2003-12-15,1539.904
2003-12-22,1564.947
2003-12-29,1568.408
2004-01-05,1644.632
2004-01-12,1696.483
2004-01-19,1677.285
2004-01-26,1677.285
2004-02-02,1701.605
2004-02-09,1785.583
2004-02-16,1778.353
2004-02-23,1762.089
2004-03-01,1770.982
2004-03-08,1716.092
2004-03-15,1820.409
2004-03-22,1841.202
2004-03-29,1803.307
2004-04-05,1852.61
2004-04-12,1806.674
2004-04-19,1757.002
2004-04-26,1715.037
2004-05-03,1673.414
2004-05-10,1636.445
2004-05-17,1615.22
2004-05-24,1625.803
2004-05-31,1631.656
2004-06-07,1591.682
2004-06-14,1511.023
2004-06-21,1505.826
2004-06-28,1454.083
2004-07-05,1516.394
2004-07-12,1466.817
2004-07-19,1529.879
2004-07-26,1456.255
2004-08-02,1440.644
2004-08-09,1464.545
2004-08-16,1421.307
2004-08-23,1390.93
2004-08-30,1384.379
2004-09-06,1386.351
2004-09-13,1322.106
2004-09-20,1535.18
2004-09-27,1497.58
2004-10-04,1465.185
2004-10-11,1482.327
2004-10-18,1400.855
2004-10-25,1375.459
2004-11-01,1370.463
2004-11-08,1369.235
2004-11-15,1438.267
2004-11-22,1452.108
2004-11-29,1404.217
2004-12-06,1406.511
2004-12-13,1374.939
2004-12-20,1339.05
2004-12-27,1344.009
2005-01-03,1330.185
2005-01-10,1314.627
2005-01-17,1276.987
2005-01-24,1318.125
2005-01-31,1251.142
2005-02-07,1332.441
2005-02-14,1332.441
2005-02-21,1348.786
2005-02-28,1370.972
2005-03-07,1357.855
2005-03-14,1357.481
2005-03-21,1291.735
2005-03-28,1259.218
2005-04-04,1261.93
2005-04-11,1301.65
2005-04-18,1256.312
2005-04-25,1214.65
2005-05-02,1216.204
2005-05-09,1186.896
2005-05-16,1149.91
2005-05-23,1124.038
2005-05-30,1112.746
2005-06-06,1085.773
2005-06-13,1161.406
2005-06-20,1171.682
2005-06-27,1181.082
2005-07-04,1099.833
2005-07-11,1062.45
2005-07-18,1064.776
2005-07-25,1099.452
2005-08-01,1144.83
2005-08-08,1196.725
2005-08-15,1247.122
2005-08-22,1217.557
2005-08-29,1213.553
2005-09-05,1256.999
2005-09-12,1248.708
2005-09-19,1282.59
2005-09-26,1213.512
2005-10-03,1214.008
2005-10-10,1196.955
2005-10-17,1188.719
2005-10-24,1199.572
2005-10-31,1148.882
2005-11-07,1157.086
2005-11-14,1144.238
2005-11-21,1177.082
2005-11-28,1167.697
2005-12-05,1134.555
2005-12-12,1173.833
2005-12-19,1190.383
2005-12-26,1216.609
2006-01-02,1220.929
2006-01-09,1277.394
2006-01-16,1263.593
2006-01-23,1316.638
2006-01-30,1318.909
2006-02-06,1349.033
2006-02-13,1342.178
2006-02-20,1329.562
2006-02-27,1360.599
2006-03-06,1351.83
2006-03-13,1321.227
2006-03-20,1351.335
2006-03-27,1358.959
2006-04-03,1383.5
2006-04-10,1424.763
2006-04-17,1445.916
2006-04-24,1478.999
2006-05-01,1511.71
2006-05-08,1571.559
2006-05-15,1747.44
2006-05-22,1741.243
2006-05-29,1731.942
2006-06-05,1770.397
2006-06-12,1632.615
2006-06-19,1667.392
2006-06-26,1717.087
2006-07-03,1784.456
2006-07-10,1823.825
2006-07-17,1769.519
2006-07-24,1751.345
2006-07-31,1695.146
2006-08-07,1626.174
2006-08-14,1651.036
2006-08-21,1683.16
2006-08-28,1735.037
2006-09-04,1742.605
2006-09-11,1761.196
2006-09-18,1821.38
2006-09-25,1808.751
2006-10-02,1840.312
2006-10-09,1875.117
2006-10-16,1860.678
2006-10-23,1848.129
2006-10-30,1901.336
2006-11-06,1981.941
2006-11-13,1958.908
2006-11-20,2120.662
2006-11-27,2151.157
2006-12-04,2271.804
2006-12-11,2292.037
2006-12-18,2452.113
2006-12-25,2561.655
2007-01-01,2815.132
2007-01-08,2847.601
2007-01-15,2935.539
2007-01-22,3080.745
2007-01-29,3094.314
2007-02-05,2744.041
2007-02-12,2947.496
2007-02-19,3148.79
2007-02-26,3193.197
2007-03-05,2926.6
2007-03-12,3104.681
2007-03-19,3167.715
2007-03-26,3281.442
2007-04-02,3418.728
2007-04-09,3572.409
2007-04-16,3780.605
2007-04-23,3899.954
2007-04-30,4035.086
2007-05-07,4035.086
2007-05-14,4241.434
2007-05-21,4262.695
2007-05-28,4476.668
2007-06-04,3850.379
2007-06-11,4191.102
2007-06-18,4461.613
2007-06-25,4136.609
2007-07-02,4027.059
2007-07-09,4074.953
2007-07-16,4009.544
2007-07-23,4419.949
2007-07-30,4657.852
2007-08-06,4855.641
2007-08-13,5060.188
2007-08-20,5149.242
2007-08-27,5408.426
2007-09-03,5587.316
2007-09-10,5622.785
2007-09-17,5690.23
2007-09-24,5757.398
2007-10-01,5827.66
2007-10-08,5975.988
2007-10-15,6330.477
2007-10-22,5948.707
2007-10-29,6034.063
2007-11-05,5914.172
2007-11-12,5446.188
2007-11-19,5532.281
2007-11-26,5205.453
2007-12-03,5108.051
2007-12-10,5416.723
2007-12-17,5116.844
2007-12-24,5493.133
2007-12-31,5521.488
2008-01-07,5660.043
2008-01-14,5770.527
2008-01-21,5157.441
2008-01-28,4637.805
2008-02-04,4903.406
2008-02-11,4827.098
2008-02-18,4793.988
2008-02-25,4398.809
2008-03-03,4657.105
2008-03-10,4350.348
2008-03-17,4008.393
2008-03-24,3804.825
2008-03-31,3643.244
2008-04-07,3777.247
2008-04-14,3459.0
2008-04-21,3270.77
2008-04-28,3645.577
2008-05-05,3946.45
2008-05-12,3805.748
2008-05-19,3782.371
2008-05-26,3530.582
2008-06-02,3629.606
2008-06-09,3493.188
2008-06-16,3014.74
2008-06-23,2895.984
2008-06-30,2869.937
2008-07-07,2928.775
2008-07-14,3019.106
2008-07-21,3001.567
2008-07-28,3045.5
2008-08-04,2875.981
2008-08-11,2592.49
2008-08-18,2435.115
2008-08-25,2533.43
2008-09-01,2440.871
2008-09-08,2249.815
2008-09-15,2183.023
2008-09-22,2348.574
2008-09-29,2408.878
2008-10-06,2282.814
2008-10-13,2177.921
2008-10-20,2073.486
2008-10-27,1810.428
2008-11-03,1806.791
2008-11-10,1969.439
2008-11-17,2132.909
2008-11-24,1992.724
2008-12-01,1989.674
2008-12-08,2195.585
2008-12-15,2062.931
2008-12-22,2087.324
2008-12-29,1943.061
2009-01-05,1974.717
2009-01-12,1995.058
2009-01-19,2085.947
2009-01-26,2089.898
2009-02-02,2111.943
2009-02-09,2335.541
2009-02-16,2508.56
2009-02-23,2420.282
2009-03-02,2197.671
2009-03-09,2224.068
2009-03-16,2260.295
2009-03-23,2440.955
2009-03-30,2474.857
2009-04-06,2539.902
2009-04-13,2638.591
2009-04-20,2684.505
2009-04-27,2524.963
2009-05-04,2687.123
2009-05-11,2708.153
2009-05-18,2784.585
2009-05-25,2739.403
2009-06-01,2856.412
2009-06-08,2905.825
2009-06-15,2928.16
2009-06-22,3040.517
2009-06-29,3123.465
2009-07-06,3280.268
2009-07-13,3233.816
2009-07-20,3429.514
2009-07-27,3606.541
2009-08-03,3634.984
2009-08-10,3411.183
2009-08-17,3013.138
2009-08-24,3141.845
2009-08-31,2799.479
2009-09-07,3023.689
2009-09-14,3176.698
2009-09-21,3113.68
2009-09-28,2899.869
2009-10-05,2916.727
2009-10-12,3037.591
2009-10-19,3188.646
2009-10-26,3263.551
2009-11-02,3228.7
2009-11-09,3332.531
2009-11-16,3435.4
2009-11-23,3501.737
2009-11-30,3351.49
2009-12-07,3494.783
2009-12-14,3464.438
2009-12-21,3275.693
2009-12-28,3344.496
2010-01-04,3402.309
2010-01-11,3369.443
2010-01-18,3394.564
2010-01-25,3244.996
2010-02-01,3084.555
2010-02-08,3077.839
2010-02-15,3164.654
2010-02-22,3149.133
2010-03-01,3237.853
2010-03-08,3201.376
2010-03-15,3121.508
2010-03-22,3223.855
2010-03-29,3275.551
2010-04-05,3311.152
2010-04-12,3280.9
2010-04-19,3124.552
2010-04-26,3112.771
2010-05-03,3009.366
2010-05-10,2829.794
2010-05-17,2684.203
2010-05-24,2803.668
2010-05-31,2718.421
2010-06-07,2633.556
2010-06-14,2694.246
2010-06-21,2711.288
2010-06-28,2657.695
2010-07-05,2477.883
2010-07-12,2610.491
2010-07-19,2594.324
2010-07-26,2713.197
2010-08-02,2801.046
2010-08-09,2800.732
2010-08-16,2789.264
2010-08-23,2766.036
2010-08-30,2779.098
2010-09-06,2825.034
2010-09-13,2816.521
2010-09-20,2712.04
2010-09-27,2753.04
2010-10-04,2782.023
2010-10-11,2940.826
2010-10-18,3097.018
2010-10-25,3197.238
2010-11-01,3199.485
2010-11-08,3309.763
2010-11-15,3157.512
2010-11-22,3020.95
2010-11-29,3001.805
2010-12-06,2992.366
2010-12-13,3061.177
2010-12-20,2987.42
2010-12-27,2912.473
2011-01-03,2940.244
2011-01-10,2923.016
2011-01-17,2833.843
2011-01-24,2822.245
2011-01-31,2921.824
2011-02-07,2930.521
2011-02-14,3035.718
2011-02-21,3070.357
2011-02-28,3041.766
2011-03-07,3137.441
2011-03-14,3075.796
2011-03-21,3045.977
2011-03-28,3124.529
2011-04-04,3107.149
2011-04-11,3165.133
2011-04-18,3201.55
2011-04-25,3104.455
2011-05-02,3049.19
2011-05-09,3008.084
2011-05-16,2983.624
2011-05-23,2905.749
2011-05-30,2834.526
2011-06-06,2856.895
2011-06-13,2829.99
2011-06-20,2746.478
2011-06-27,2889.589
2011-07-04,2946.493
2011-07-11,2935.483
2011-07-18,2950.228
2011-07-25,2816.069
2011-08-01,2831.598
2011-08-08,2646.543
2011-08-15,2751.239
2011-08-22,2635.119
2011-08-29,2698.658
2011-09-05,2596.274
2011-09-12,2616.102
2011-09-19,2553.369
2011-09-26,2506.772
2011-10-03,2471.101
2011-10-10,2456.022
2011-10-17,2556.267
2011-10-24,2482.806
2011-10-31,2585.102
2011-11-07,2628.835
2011-11-14,2648.577
2011-11-21,2529.586
2011-11-28,2496.023
2011-12-05,2444.863
2011-12-12,2400.793
2011-12-19,2323.915
2011-12-26,2294.305
2012-01-02,2304.116
2012-01-09,2331.893
2012-01-16,2311.324
2012-01-23,2429.701
2012-01-30,2393.938
2012-02-06,2442.226
2012-02-13,2463.848
2012-02-20,2476.015
2012-02-27,2563.301
2012-03-05,2561.091
2012-03-12,2550.315
2012-03-19,2524.446
2012-03-26,2462.207
2012-04-02,2370.07
2012-04-09,2394.1
2012-04-16,2468.764
2012-04-23,2501.602
2012-04-30,2509.71
2012-05-07,2568.121
2012-05-14,2493.396
2012-05-21,2459.657
2012-05-28,2473.712
2012-06-04,2418.234
2012-06-11,2415.399
2012-06-18,2425.395
2012-06-25,2328.986
2012-07-02,2331.181
2012-07-09,2273.319
2012-07-16,2249.369
2012-07-23,2242.415
2012-07-30,2210.404
2012-08-06,2257.166
2012-08-13,2237.596
2012-08-20,2206.81
2012-08-27,2153.011
2012-09-03,2156.444
2012-09-10,2235.755
2012-09-17,2176.701
2012-09-24,2129.086
2012-10-01,2184.705
2012-10-08,2172.386
2012-10-15,2197.905
2012-10-22,2233.566
2012-10-29,2156.087
2012-11-05,2213.837
2012-11-12,2177.38
2012-11-19,2112.022
2012-11-26,2112.518
2012-12-03,2051.959
2012-12-10,2181.979
2012-12-17,2262.305
2012-12-24,2260.841
2012-12-31,2376.039
2013-01-07,2392.591
2013-01-14,2420.006
2013-01-21,2436.856
2013-01-28,2456.025
2013-02-04,2541.786
2013-02-11,2545.855
2013-02-18,2534.522
2013-02-25,2434.371
2013-03-04,2379.378
2013-03-11,2418.428
2013-03-18,2344.646
2013-03-25,2435.445
2013-04-01,2338.531
2013-04-08,2314.728
2013-04-15,2283.896
2013-04-22,2346.766
2013-04-29,2279.54
